,id,geometry,n_vehicles_home,n_vehicles_work,n_vehicles_poi,Etot_home_kWh,Etot_work_kWh,Etot_poi_kWh,E_per_vehicle_home_kWh,E_per_vehicle_work_kWh,E_per_vehicle_poi_kWh
0,0_3,"POLYGON ((38.683873553670054 8.965780444727844, 38.683835300412134 9.009899885450594, 38.63936451876394 9.0098589926729, 38.63940815234414 8.965739755378113, 38.683873553670054 8.965780444727844))",20,2,2,113.15302083588222,8.180546299413892,6.15371325046387,5.657651041794111,4.090273149706946,4.095638041142064
1,1_2,"POLYGON ((38.7283718561157 8.921696064493137, 38.72833915124168 8.965815787080833, 38.683873553670054 8.965780444727844, 38.68391161149395 8.921660898794752, 38.7283718561157 8.921696064493137))",16,5,5,72.17626350161677,21.824037961547088,21.196123418264442,4.511016468851048,4.364807592309417,4.095638041142064
2,1_3,"POLYGON ((38.72833915124168 8.965815787080833, 38.728306278421954 9.009935404499071, 38.683835300412134 9.009899885450594, 38.683873553670054 8.965780444727844, 38.72833915124168 8.965815787080833))",38,12,8,148.31328031877595,43.75865127714503,31.452312169037555,3.90298106102042,3.646554273095419,4.095638041142064
3,1_4,"POLYGON ((38.728306278421954 9.009935404499071, 38.728273237557346 9.05405491624774, 38.68379685160476 9.054019220462683, 38.683835300412134 9.009899885450594, 38.728306278421954 9.009935404499071))",62,14,16,243.36638927596306,53.79965565908967,64.27211617151153,3.9252643431606944,3.8428325470778337,4.095638041142064
4,1_5,"POLYGON ((38.728273237557346 9.05405491624774, 38.72824002854811 9.098174321826976, 38.683758207131866 9.09813844926403, 38.68379685160476 9.054019220462683, 38.728273237557346 9.05405491624774))",18,3,2,84.83631338703958,13.2007931024186,7.521205083900285,4.713128521502199,4.400264367472867,4.095638041142064
5,2_1,"POLYGON ((38.7728594807324 8.877605932666073, 38.77283226928161 8.921725909816118, 38.7283718561157 8.921696064493137, 38.72840439314271 8.877576237236347, 38.7728594807324 8.877605932666073))",10,4,6,53.80752917925384,20.368350631313977,25.982344835291894,5.380752917925384,5.092087657828494,4.095638041142064
6,2_2,"POLYGON ((38.77283226928161 8.921725909816118, 38.77280491745652 8.965845782331586, 38.72833915124168 8.965815787080833, 38.7283718561157 8.921696064493137, 38.77283226928161 8.921725909816118))",26,17,9,106.23994807992007,77.44082997911381,41.024755003092466,4.086151849227695,4.555342939947871,4.095638041142064
7,2_3,"POLYGON ((38.77280491745652 8.965845782331586, 38.77277742517461 9.00996554971229, 38.728306278421954 9.009935404499071, 38.72833915124168 8.965815787080833, 38.77280491745652 8.965845782331586))",52,60,23,177.9413918321667,236.2363903011935,95.04068242383087,3.4219498429262822,3.937273171686558,4.095638041142064
8,2_4,"POLYGON ((38.77277742517461 9.00996554971229, 38.77274979235292 9.054085211458297, 38.728273237557346 9.05405491624774, 38.728306278421954 9.009935404499071, 38.77277742517461 9.00996554971229))",90,71,45,319.2838398145182,270.73314971517675,185.97888934735252,3.5475982201613134,3.813142953734884,4.095638041142064
9,2_5,"POLYGON ((38.77274979235292 9.054085211458297, 38.77272201890802 9.098204767069932, 38.72824002854811 9.098174321826976, 38.728273237557346 9.05405491624774, 38.77274979235292 9.054085211458297))",34,5,3,135.67350000736312,18.757425284035648,12.30742650092774,3.9903970590400917,3.7514850568071294,4.095638041142064
10,3_0,"POLYGON ((38.81733648215402 8.833510129924381, 38.81731470919699 8.877630334352466, 38.7728594807324 8.877605932666073, 38.772886551890956 8.833485851381887, 38.81733648215402 8.833510129924381))",7,1,1,46.72688772165882,4.910512129250926,5.469967333745662,6.6752696745226885,4.910512129250926,4.095638041142064
11,3_1,"POLYGON ((38.81731470919699 8.877630334352466, 38.81729282340483 8.921750434674623, 38.77283226928161 8.921725909816118, 38.7728594807324 8.877605932666073, 38.81731470919699 8.877630334352466))",6,3,7,32.92525708194187,11.606682500445903,28.717328502164726,5.487542846990312,3.8688941668153007,4.095638041142064
12,3_2,"POLYGON ((38.81729282340483 8.921750434674623, 38.81727082471154 8.965870430390565, 38.77280491745652 8.965845782331586, 38.77283226928161 8.921725909816118, 38.81729282340483 8.921750434674623))",6,2,2,24.642825228947665,8.261039521677079,7.521205083900285,4.107137538157944,4.130519760838539,4.095638041142064
13,3_3,"POLYGON ((38.81727082471154 8.965870430390565, 38.817248713050745 9.009990321000249, 38.77277742517461 9.00996554971229, 38.77280491745652 8.965845782331586, 38.81727082471154 8.965870430390565))",18,44,22,67.96497087587416,195.74184300223718,88.2032232566488,3.7758317153263423,4.448678250050845,4.095638041142064
14,3_4,"POLYGON ((38.817248713050745 9.009990321000249, 38.81722648835572 9.054110106003897, 38.77274979235292 9.054085211458297, 38.77277742517461 9.00996554971229, 38.817248713050745 9.009990321000249))",28,39,22,99.0947006158411,157.25265627831342,88.2032232566488,3.539096450565754,4.0321193917516265,4.095638041142064
15,3_5,"POLYGON ((38.81722648835572 9.054110106003897, 38.81720415055939 9.098229784901982, 38.77272201890802 9.098204767069932, 38.77274979235292 9.054085211458297, 38.81722648835572 9.054110106003897))",5,2,2,21.69634404827576,6.940908300608245,6.837459167182077,4.3392688096551515,3.4704541503041226,4.095638041142064
16,4_1,"POLYGON ((38.86177005096534 8.87764944222271, 38.86175349089809 8.921769638995453, 38.81729282340483 8.921750434674623, 38.81731470919699 8.877630334352466, 38.86177005096534 8.87764944222271))",2,0,0,16.52844025668382,0.0,0.0,8.26422012834191,0.0,0.0
17,4_2,"POLYGON ((38.86175349089809 8.921769638995453, 38.86173684540325 8.96588973118419, 38.81727082471154 8.965870430390565, 38.81729282340483 8.921750434674623, 38.86175349089809 8.921769638995453))",0,0,1,2.7163070944304355,0.6828575620217038,4.786221417027455,0.0,0.0,4.095638041142064
18,4_3,"POLYGON ((38.86173684540325 8.96588973118419, 38.861720114430575 9.010009718288995, 38.817248713050745 9.009990321000249, 38.81727082471154 8.965870430390565, 38.86173684540325 8.96588973118419))",14,3,2,60.95044593279717,13.294571037091007,6.15371325046387,4.353603280914084,4.431523679030335,4.095638041142064
19,4_4,"POLYGON ((38.861720114430575 9.010009718288995, 38.8617032979296 9.054129599810205, 38.81722648835573 9.054110106003897, 38.817248713050745 9.009990321000249, 38.861720114430575 9.010009718288995))",31,11,16,134.15757536360755,50.18670013016027,63.58837025479332,4.3276637214066955,4.562427284560024,4.095638041142064
20,4_5,"POLYGON ((38.8617032979296 9.054129599810205, 38.86168639584955 9.098249375248413, 38.8172041505594 9.098229784901982, 38.81722648835573 9.054110106003897, 38.8617032979296 9.054129599810205))",1,0,0,4.998660873493592,0.0,0.0,4.998660873493592,0.0,0.0
21,5_2,"POLYGON ((38.90621424417376 8.92178352272129, 38.90620295192778 8.965903684654847, 38.86173684540325 8.96588973118419, 38.86175349089809 8.921769638995453, 38.90621424417376 8.92178352272129))",0,0,0,3.632681682001161,0.41671376266735627,0.0,0.0,0.0,0.0
22,5_3,"POLYGON ((38.90620295192778 8.965903684654847, 38.90619160169394 9.010023741520614, 38.861720114430575 9.010009718288995, 38.86173684540325 8.96588973118419, 38.90620295192778 8.965903684654847))",3,0,0,16.660180262031783,0.5120076605800314,0.0,5.553393420677261,0.0,0.0
23,5_4,"POLYGON ((38.90619160169394 9.010023741520614, 38.906180193437976 9.054143692819013, 38.8617032979296 9.054129599810205, 38.861720114430575 9.010009718288995, 38.90619160169394 9.010023741520614))",11,3,7,60.33226730094769,14.585090247118032,28.717328502164726,5.484751572813426,4.861696749039344,4.095638041142064
