id,bbox,is_within_target_area,n_vehicles_origin,n_vehicles_destination,E0_origin_kWh,E0_destination_kWh,Etot_origin_kWh,Etot_destination_kWh
0_0,"POLYGON ((38.68386666666667 8.833500000000003, 38.68386666666667 8.877616666666668, 38.6394 8.877616666666668, 38.6394 8.833500000000003, 38.68386666666667 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
0_1,"POLYGON ((38.68386666666667 8.877616666666668, 38.68386666666667 8.921733333333334, 38.6394 8.921733333333334, 38.6394 8.877616666666668, 38.68386666666667 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
0_2,"POLYGON ((38.68386666666667 8.921733333333336, 38.68386666666667 8.965850000000001, 38.6394 8.965850000000001, 38.6394 8.921733333333336, 38.68386666666667 8.921733333333336))",False,0,125,0,4.8312,0.0,603.9
0_3,"POLYGON ((38.68386666666667 8.965850000000001, 38.68386666666667 9.009966666666667, 38.6394 9.009966666666667, 38.6394 8.965850000000001, 38.68386666666667 8.965850000000001))",True,0,322,0,4.560476190476191,0.0,1468.4733333333334
0_4,"POLYGON ((38.68386666666667 9.009966666666667, 38.68386666666667 9.054083333333333, 38.6394 9.054083333333333, 38.6394 9.009966666666667, 38.68386666666667 9.009966666666667))",False,0,0,0,0.0,0.0,0.0
0_5,"POLYGON ((38.68386666666667 9.054083333333335, 38.68386666666667 9.0982, 38.6394 9.0982, 38.6394 9.054083333333335, 38.68386666666667 9.054083333333335))",False,0,58,0,4.816896551724138,0.0,279.38
1_0,"POLYGON ((38.72833333333333 8.833500000000003, 38.72833333333333 8.877616666666668, 38.68386666666667 8.877616666666668, 38.68386666666667 8.833500000000003, 38.72833333333333 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
1_1,"POLYGON ((38.72833333333333 8.877616666666668, 38.72833333333333 8.921733333333334, 38.68386666666667 8.921733333333334, 38.68386666666667 8.877616666666668, 38.72833333333333 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
1_2,"POLYGON ((38.72833333333333 8.921733333333336, 38.72833333333333 8.965850000000001, 38.68386666666667 8.965850000000001, 38.68386666666667 8.921733333333336, 38.72833333333333 8.921733333333336))",True,0,795,0,4.254398322851153,0.0,3382.2466666666664
1_3,"POLYGON ((38.72833333333333 8.965850000000001, 38.72833333333333 9.009966666666667, 38.68386666666667 9.009966666666667, 38.68386666666667 8.965850000000001, 38.72833333333333 8.965850000000001))",True,0,1617,0,3.939158936301793,0.0,6369.619999999999
1_4,"POLYGON ((38.72833333333333 9.009966666666667, 38.72833333333333 9.054083333333333, 38.68386666666667 9.054083333333333, 38.68386666666667 9.009966666666667, 38.72833333333333 9.009966666666667))",True,0,2034,0,3.7983546378236643,0.0,7725.8533333333335
1_5,"POLYGON ((38.72833333333333 9.054083333333335, 38.72833333333333 9.0982, 38.68386666666667 9.0982, 38.68386666666667 9.054083333333335, 38.72833333333333 9.054083333333335))",False,0,448,0,4.092991071428571,0.0,1833.6599999999999
2_0,"POLYGON ((38.7728 8.833500000000003, 38.7728 8.877616666666668, 38.72833333333333 8.877616666666668, 38.72833333333333 8.833500000000003, 38.7728 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
2_1,"POLYGON ((38.7728 8.877616666666668, 38.7728 8.921733333333334, 38.72833333333333 8.921733333333334, 38.72833333333333 8.877616666666668, 38.7728 8.877616666666668))",True,0,652,0,4.863783231083844,0.0,3171.1866666666665
2_2,"POLYGON ((38.7728 8.921733333333336, 38.7728 8.965850000000001, 38.72833333333333 8.965850000000001, 38.72833333333333 8.921733333333336, 38.7728 8.921733333333336))",True,0,2372,0,4.680609893198426,0.0,11102.406666666666
2_3,"POLYGON ((38.7728 8.965850000000001, 38.7728 9.009966666666667, 38.72833333333333 9.009966666666667, 38.72833333333333 8.965850000000001, 38.7728 8.965850000000001))",True,0,7843,0,4.149887373029028,0.0,32547.566666666662
2_4,"POLYGON ((38.7728 9.009966666666667, 38.7728 9.054083333333333, 38.72833333333333 9.054083333333333, 38.72833333333333 9.009966666666667, 38.7728 9.009966666666667))",True,0,9618,0,3.893903098357247,0.0,37451.560000000005
2_5,"POLYGON ((38.7728 9.054083333333335, 38.7728 9.0982, 38.72833333333333 9.0982, 38.72833333333333 9.054083333333335, 38.7728 9.054083333333335))",True,0,590,0,4.228644067796609,0.0,2494.8999999999996
3_0,"POLYGON ((38.81726666666667 8.833500000000003, 38.81726666666667 8.877616666666668, 38.772800000000004 8.877616666666668, 38.772800000000004 8.833500000000003, 38.81726666666667 8.833500000000003))",True,0,187,0,4.690802139037433,0.0,877.18
3_1,"POLYGON ((38.81726666666667 8.877616666666668, 38.81726666666667 8.921733333333334, 38.772800000000004 8.921733333333334, 38.772800000000004 8.877616666666668, 38.81726666666667 8.877616666666668))",True,0,402,0,4.44804311774461,0.0,1788.1133333333332
3_2,"POLYGON ((38.81726666666667 8.921733333333336, 38.81726666666667 8.965850000000001, 38.772800000000004 8.965850000000001, 38.772800000000004 8.921733333333336, 38.81726666666667 8.921733333333336))",True,0,242,0,4.8833608815427,0.0,1181.7733333333333
3_3,"POLYGON ((38.81726666666667 8.965850000000001, 38.81726666666667 9.009966666666667, 38.772800000000004 9.009966666666667, 38.772800000000004 8.965850000000001, 38.81726666666667 8.965850000000001))",True,0,6131,0,4.457082585766324,0.0,27326.373333333333
3_4,"POLYGON ((38.81726666666667 9.009966666666667, 38.81726666666667 9.054083333333333, 38.772800000000004 9.054083333333333, 38.772800000000004 9.009966666666667, 38.81726666666667 9.009966666666667))",True,0,5624,0,3.906646514935988,0.0,21970.979999999996
3_5,"POLYGON ((38.81726666666667 9.054083333333335, 38.81726666666667 9.0982, 38.772800000000004 9.0982, 38.772800000000004 9.054083333333335, 38.81726666666667 9.054083333333335))",True,0,216,0,4.4789814814814815,0.0,967.4599999999999
4_0,"POLYGON ((38.86173333333333 8.833500000000003, 38.86173333333333 8.877616666666668, 38.81726666666667 8.877616666666668, 38.81726666666667 8.833500000000003, 38.86173333333333 8.833500000000003))",False,0,41,0,4.056747967479675,0.0,166.32666666666665
4_1,"POLYGON ((38.86173333333333 8.877616666666668, 38.86173333333333 8.921733333333334, 38.81726666666667 8.921733333333334, 38.81726666666667 8.877616666666668, 38.86173333333333 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
4_2,"POLYGON ((38.86173333333333 8.921733333333336, 38.86173333333333 8.965850000000001, 38.81726666666667 8.965850000000001, 38.81726666666667 8.921733333333336, 38.86173333333333 8.921733333333336))",True,0,18,0,5.6933333333333325,0.0,102.47999999999999
4_3,"POLYGON ((38.86173333333333 8.965850000000001, 38.86173333333333 9.009966666666667, 38.81726666666667 9.009966666666667, 38.81726666666667 8.965850000000001, 38.86173333333333 8.965850000000001))",True,0,365,0,5.07386301369863,0.0,1851.9599999999998
4_4,"POLYGON ((38.86173333333333 9.009966666666667, 38.86173333333333 9.054083333333333, 38.81726666666667 9.054083333333333, 38.81726666666667 9.009966666666667, 38.86173333333333 9.009966666666667))",True,0,1713,0,4.6437867289355905,0.0,7954.806666666666
4_5,"POLYGON ((38.86173333333333 9.054083333333335, 38.86173333333333 9.0982, 38.81726666666667 9.0982, 38.81726666666667 9.054083333333335, 38.86173333333333 9.054083333333335))",True,0,0,0,0.0,0.0,0.0
5_0,"POLYGON ((38.9062 8.833500000000003, 38.9062 8.877616666666668, 38.86173333333333 8.877616666666668, 38.86173333333333 8.833500000000003, 38.9062 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
5_1,"POLYGON ((38.9062 8.877616666666668, 38.9062 8.921733333333334, 38.86173333333333 8.921733333333334, 38.86173333333333 8.877616666666668, 38.9062 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
5_2,"POLYGON ((38.9062 8.921733333333336, 38.9062 8.965850000000001, 38.86173333333333 8.965850000000001, 38.86173333333333 8.921733333333336, 38.9062 8.921733333333336))",True,0,10,0,6.791333333333332,0.0,67.91333333333333
5_3,"POLYGON ((38.9062 8.965850000000001, 38.9062 9.009966666666667, 38.86173333333333 9.009966666666667, 38.86173333333333 8.965850000000001, 38.9062 8.965850000000001))",True,0,15,0,5.340888888888888,0.0,80.11333333333333
5_4,"POLYGON ((38.9062 9.009966666666667, 38.9062 9.054083333333333, 38.86173333333333 9.054083333333333, 38.86173333333333 9.009966666666667, 38.9062 9.009966666666667))",True,0,542,0,4.741943419434194,0.0,2570.133333333333
5_5,"POLYGON ((38.9062 9.054083333333335, 38.9062 9.0982, 38.86173333333333 9.0982, 38.86173333333333 9.054083333333335, 38.9062 9.054083333333335))",False,0,52,0,5.615128205128205,0.0,291.9866666666667
